,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
0,0,@BBC,🍓🤖 Meet the strawberry picking robot. https://t.co/oVL1eYXeBt,0.0,0.0,0.0,1.0
1,1,@BBC,"Twenty familiar faces from the worlds of show business, music and sport compete to win the 2018 title... Celebrity… https://t.co/b8ah90rqci",0.5859,0.167,0.0,0.833
2,2,@BBC,Would you travel to Japan to meet Melonbear? https://t.co/aiiuz98vMp,0.0,0.0,0.0,1.0
3,3,@BBC,"RT @BBCOne: Be a nice person ✅
Never give up ✅
Answer back ✅

And other valuable life advice from @LennyHenry! https://t.co/pYyyfqeKOq",0.7345,0.279,0.0,0.721
4,4,@BBC,"Do you give a fork? 🍴
#PlasticsAction https://t.co/Zs6OXgNdM6",0.0,0.0,0.0,1.0
5,5,@BBC,"RT @BBCNews: GCSE results day is stressful for a lot of people 😖

Here are some tips on how to cope https://t.co/zjny0yFCjX https://t.co/io…",-0.5106,0.0,0.142,0.858
6,6,@BBC,"RT @bbcpress: 🎬 @BBCThree's #Fleabag series two cast announced as filming commences, with Andrew Scott joining the show: https://t.co/nH6LF…",0.0,0.0,0.0,1.0
7,7,@BBC,"South Korean boy band @BTS_twt will appear in the 2019 edition of the Guinness Book of World Records - twice! 
👉… https://t.co/DkTcQLeqJD",0.0,0.0,0.0,1.0
8,8,@BBC,"RT @BBC_Teach: Did you know that GCSEs are 30 years old this year?

Take a trip down memory lane with this 1988 clip from John Craven's New…",0.0,0.0,0.0,1.0
9,9,@BBC,"From 'preating' to 'orbiting' - which toxic dating trend are you guilty of?
👉 https://t.co/O4dQkQAqlM https://t.co/p39IuVrUVI",-0.4215,0.0,0.177,0.823
10,10,@BBC,🐶🍦 Almost too adorable to eat... https://t.co/Cf3gUwmFqH,0.4445,0.327,0.0,0.673
11,11,@BBC,"😲 A woman has had a contact lens removed from her eyelid 28 years after it was thought to have fallen out.
👉… https://t.co/okaXLrAjDn",-0.3612,0.0,0.111,0.889
12,12,@BBC,"RT @BBCOne: Walking in on your mum. The last thing you want to see. Ever.

#Wanderlust starring Toni Collette explores love and forbidden d…",0.4019,0.188,0.096,0.717
13,13,@BBC,"RT @BBC6Music: #AllDayRave
Thursday with...
6am @graemepark
7am @DirkandJurgen w/ @shaunwkeaveny &amp; @nemonemetaxas 
10am @laurenlaverne w/ @…",0.0,0.0,0.0,1.0
14,14,@BBC,"RT @BBC6Music: We’re ‘aving a rave! 🙌
All day today we’re celebrating 30 years of UK club culture. No playlist, plenty of your requests and…",0.4199,0.147,0.081,0.772
15,15,@BBC,"RT @BBC_Teach: It's #gcseresultsday2018

#BBCMindSet are live NOW with support and advice to help you choose your next step 

Just click he…",0.6597,0.213,0.0,0.787
16,16,@BBC,"This woman is the best thing since sliced bread.
(via @BBCThree) https://t.co/1TUeJRVuJs",0.6369,0.276,0.0,0.724
17,17,@BBC,Examination of a mummy has revealed the original ancient Egyptian embalming recipe - first used to preserve bodies.… https://t.co/m4dEcDrGEY,0.3182,0.126,0.0,0.874
18,18,@BBC,"🦔 💕 Only one in 100,000 hedgehogs are born with the recessive gene for albinism. https://t.co/os5fY2IdID",0.0,0.0,0.0,1.0
19,19,@BBC,Meet the brothers who customise millions of pounds worth of supercars… and live at home with Mum and Dad. https://t.co/GKWVG8MN9K,0.2263,0.091,0.0,0.909
20,20,@BBC,"NEWS JUST IN: TV is dead. 

#TheLennyHenryBirthdayShow | 8pm | @BBCOne https://t.co/BcAdHUwEFT",-0.6486,0.0,0.323,0.677
21,21,@BBC,How Vince’s experience as a Paralympian led him to set up a company making bespoke wheelchairs. https://t.co/oiij2R8Auk,0.0,0.0,0.0,1.0
22,22,@BBC,RT @BBCRadio4: Venezuela is desperately trying to stop out-of-control prices. Here’s how they got to where they were before the new currenc…,-0.5859,0.0,0.194,0.806
23,23,@BBC,"Cases of measles in Europe have hit a record high with 41,000 people infected in the first six months of 2018, acco… https://t.co/pmnPXDndJI",-0.4939,0.0,0.132,0.868
24,24,@BBC,"RT @BBCTwo: By order of the #PeakyBlinders, we hereby issue @BBCOne with full membership to the Shelby family business! Welcome to the gang…",0.5093,0.13,0.0,0.87
25,25,@BBC,"RT @BBCOne: Power. Protection. Trust. Threat.

Get ready for #Bodyguard. Starts Sunday 26th and Monday 27th August, 9pm, on @BBCOne.

Starr…",0.34,0.213,0.125,0.662
